crm_cd,crm_cd_desc,crime_grouped
110,CRIMINAL HOMICIDE,Violent
113,"MANSLAUGHTER, NEGLIGENT",Violent
121,"RAPE, FORCIBLE",Sex-Related Offenses
122,"RAPE, ATTEMPTED",Sex-Related Offenses
210,ROBBERY,Violent
220,ATTEMPTED ROBBERY,Violent
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Violent
231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,Violent
235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,Violent
236,INTIMATE PARTNER - AGGRAVATED ASSAULT,Violent
237,CHILD NEGLECT (SEE 300 W.I.C.),Other
250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",Violent
251,SHOTS FIRED AT INHABITED DWELLING,Violent
310,BURGLARY,Property 
320,"BURGLARY, ATTEMPTED",Property 
330,BURGLARY FROM VEHICLE,Property 
331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),Property 
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",Property 
343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),Property 
345,DISHONEST EMPLOYEE - GRAND THEFT,Property 
347,GRAND THEFT / INSURANCE FRAUD,Property 
349,GRAND THEFT / AUTO REPAIR,Property 
350,"THEFT, PERSON",Property 
351,PURSE SNATCHING,Property 
352,PICKPOCKET,Property 
353,DRUNK ROLL,Consensual
354,THEFT OF IDENTITY,Property 
410,"BURGLARY FROM VEHICLE, ATTEMPTED",Property 
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),Property 
421,THEFT FROM MOTOR VEHICLE - ATTEMPT,Property 
432,BLOCKING DOOR INDUCTION CENTER,Disturbance
433,DRIVING WITHOUT OWNER CONSENT (DWOC),Property 
434,FALSE IMPRISONMENT,False Imprisonment
435,LYNCHING,Violent
436,LYNCHING - ATTEMPTED,Violent
437,RESISTING ARREST,Other
438,RECKLESS DRIVING,Other
439,FALSE POLICE REPORT,Other
440,THEFT PLAIN - PETTY ($950 & UNDER),Property 
441,THEFT PLAIN - ATTEMPT,Property 
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),Property 
443,SHOPLIFTING - ATTEMPT,Property 
444,DISHONEST EMPLOYEE - PETTY THEFT,Property 
445,DISHONEST EMPLOYEE ATTEMPTED THEFT,Property 
446,PETTY THEFT - AUTO REPAIR,Property 
450,THEFT FROM PERSON - ATTEMPT,Property 
451,PURSE SNATCHING - ATTEMPT,Property 
452,"PICKPOCKET, ATTEMPT",Property 
470,TILL TAP - GRAND THEFT ($950.01 & OVER),Property 
471,TILL TAP - PETTY ($950 & UNDER),Property 
473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",Property 
474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",Property 
475,"THEFT, COIN MACHINE - ATTEMPT",Property 
480,BIKE - STOLEN,Property 
485,BIKE - ATTEMPTED STOLEN,Property 
487,BOAT - STOLEN,Property 
510,VEHICLE - STOLEN,Property 
520,VEHICLE - ATTEMPT STOLEN,Property 
522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",Property 
622,BATTERY ON A FIREFIGHTER,Violent
623,BATTERY POLICE (SIMPLE),Violent
624,BATTERY - SIMPLE ASSAULT,Violent
625,OTHER ASSAULT,Violent
626,INTIMATE PARTNER - SIMPLE ASSAULT,Violent
627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,Violent
647,THROWING OBJECT AT MOVING VEHICLE,Violent
648,ARSON,Property 
649,DOCUMENT FORGERY / STOLEN FELONY,Property 
651,DOCUMENT WORTHLESS ($200.01 & OVER),Property 
652,DOCUMENT WORTHLESS ($200 & UNDER),Property 
653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",Property 
654,"CREDIT CARDS, FRAUD USE ($950 & UNDER",Property 
660,COUNTERFEIT,White Collar
661,UNAUTHORIZED COMPUTER ACCESS,Property 
662,"BUNCO, GRAND THEFT",White Collar
664,"BUNCO, PETTY THEFT",White Collar
666,"BUNCO, ATTEMPT",White Collar
668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",Property 
670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",Property 
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Property 
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),Property 
753,DISCHARGE FIREARMS/SHOTS FIRED,Violent
755,BOMB SCARE,Violent
756,WEAPONS POSSESSION/BOMBING,Violent
760,LEWD/LASCIVIOUS ACTS WITH CHILD,Sex-Related Offenses
761,BRANDISH WEAPON,Violent
762,LEWD CONDUCT,Sex-Related Offenses
763,STALKING,Other
805,PIMPING,Sex-Related Offenses
806,PANDERING,Sex-Related Offenses
810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",Sex-Related Offenses
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),Crime against Children
813,CHILD ANNOYING (17YRS & UNDER),Sex-Related Offenses
814,CHILD PORNOGRAPHY,Sex-Related Offenses
815,SEXUAL PENETRATION W/FOREIGN OBJECT,Sex-Related Offenses
820,ORAL COPULATION,Consensual
821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,Consensual
822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,Sex-Related Offenses
830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),Consensual
840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",Sex-Related Offenses
845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,Sex-Related Offenses
850,INDECENT EXPOSURE,Disturbance
860,BATTERY WITH SEXUAL CONTACT,Sex-Related Offenses
865,"DRUGS, TO A MINOR",Crime against Children - Drug 
870,CHILD ABANDONMENT,Other
880,DISRUPT SCHOOL,School Crime
882,INCITING A RIOT,Disturbance
884,FAILURE TO DISPERSE,Disturbance
886,DISTURBING THE PEACE,Disturbance
888,TRESPASSING,Disturbance
890,FAILURE TO YIELD,Other
900,VIOLATION OF COURT ORDER,Other
901,VIOLATION OF RESTRAINING ORDER,Other
902,VIOLATION OF TEMPORARY RESTRAINING ORDER,Other
903,CONTEMPT OF COURT,Other
904,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO),Other
906,FIREARMS RESTRAINING ORDER (FIREARMS RO),Other
910,KIDNAPPING,Violent
920,KIDNAPPING - GRAND ATTEMPT,Violent
921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,Organized
922,CHILD STEALING,Violent
924,TELEPHONE PROPERTY - DAMAGE,Property 
928,THREATENING PHONE CALLS/LETTERS,Violent
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,Violent
931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",Property 
932,PEEPING TOM,Sex-Related Offenses
933,PROWLER,Disturbance
940,EXTORTION,Property 
942,BRIBERY,White Collar
943,CRUELTY TO ANIMALS,Violent
944,CONSPIRACY,Other
946,OTHER MISCELLANEOUS CRIME,Other
948,BIGAMY,Sex-Related Offenses
949,ILLEGAL DUMPING,Property 
950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",Property 
951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",Property 
954,CONTRIBUTING,Other
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",Other
